Country Code,Country,ECI_2019,ECI_2030_Ensemble,Total_Change,Annualised_Change,Pct_Change
CHL,Chile,-0.413,0.6387148502905078,1.0517148502905078,0.09561044093550071,254.65250612360967
MNG,Mongolia,-1.332,-0.4985894108685908,0.8334105891314092,0.0757645990119463,62.56836254740309
GNQ,Equatorial Guinea,-1.901,-1.0739321434180285,0.8270678565819716,0.07518798696199741,43.50698877338093
ECU,Ecuador,-1.184,-0.4826247631154975,0.7013752368845024,0.06376138517131841,59.23777338551541
ETH,Ethiopia,-1.155,-0.542534960919991,0.612465039080009,0.05567863991636446,53.027276110823294
MMR,Myanmar,-1.344,-0.753637678113402,0.5903623218865981,0.053669301989690735,43.92576799751474
QAT,Qatar,0.003,0.5905115474442075,0.5875115474442075,0.05341014067674614,5875.1154744420755
BOL,Bolivia,-0.964,-0.41307109836070244,0.5509289016392975,0.0500844456035725,57.150300999927126
YEM,"Yemen, Rep.",-1.518,-0.9971374630509591,0.5208625369490409,0.04735113972264009,34.31242008886963
VNM,Viet Nam,-0.057,0.4612479600195784,0.5182479600195784,0.04711345091087076,909.2069474027691
NGA,Nigeria,-1.529,-1.1561612362342824,0.37283876376571756,0.03389443306961069,24.384484222741502
DZA,Algeria,-1.025,-0.669798990682063,0.35520100931793697,0.03229100084708518,34.653757006628
VEN,"Venezuela, RB",-1.277,-0.9218880712951243,0.3551119287048756,0.03228290260953415,27.808295121760036
GAB,Gabon,-1.243,-0.889444931006408,0.3535550689935921,0.032141369908508376,28.44369018452068
MDG,Madagascar,-1.494,-1.1582664268666263,0.3357335731333737,0.030521233921215793,22.472126715754598
IRQ,Iraq,-1.575,-1.2518097806512773,0.3231902193487226,0.029380929031702054,20.520013926903026
TCD,Chad,-1.845,-1.5668678881115683,0.2781321118884317,0.02528473744440288,15.07491121346513
CMR,Cameroon,-1.346,-1.1222703502143916,0.2237296497856085,0.020339059071418954,16.621816477385472
PNG,Papua New Guinea,-1.409,-1.2217434178605584,0.18725658213944163,0.017023325649040147,13.29003421855512
GHA,Ghana,-0.994,-0.8725205872543766,0.12147941274562335,0.01104358297687485,12.221268887889673
AZE,Azerbaijan,-0.827,-0.7084335981521046,0.11856640184789535,0.010778763804354123,14.336928881244903
LAO,Lao PDR,-0.805,-0.6955503806373435,0.10944961936265651,0.009949965396605137,13.596226007783416
TGO,Togo,-0.893,-0.7995925725118256,0.09340742748817443,0.008491584317106766,10.459958285349881
CIV,Cote d'Ivoire,-1.1,-1.0069450978160754,0.09305490218392465,0.008459536562174968,8.459536562174968
UZB,Uzbekistan,-0.69,-0.5990709158731993,0.09092908412680067,0.008266280375163698,13.17812813431894
TZA,Tanzania,-0.924,-0.8878186863278033,0.03618131367219679,0.003289210333836072,3.9157265879000853
MOZ,Mozambique,-1.334,-1.3202482778078377,0.013751722192162363,0.0012501565629238513,1.0308637325459042
UGA,Uganda,-0.754,-0.7407685875221791,0.013231412477820892,0.0012028556798018993,1.7548292410903041
ARE,United Arab Emirates,0.333,0.3404899231806282,0.0074899231806281885,0.0006809021073298353,2.249226180368825
MWI,Malawi,-1.2,-1.2197766823335272,-0.01977668233352725,-0.001797880212138841,-1.648056861127271
LBR,Liberia,-0.849,-0.9261366243397982,-0.07713662433979818,-0.007012420394527107,-9.085585905747724
RWA,Rwanda,-0.746,-0.8328981849683399,-0.0868981849683399,-0.007899834997121808,-11.648550263852533
RUS,Russian Federation,0.257,0.15588843401602148,-0.10111156598397852,-0.009191960543998047,-39.34302178364923
OMN,Oman,-0.179,-0.2891373705418696,-0.11013737054186962,-0.010012488231079057,-61.52925728596068
KEN,Kenya,-0.436,-0.5586213631583914,-0.1226213631583914,-0.011147396650762854,-28.124165862016376
IDN,Indonesia,-0.135,-0.2624530563381085,-0.1274530563381085,-0.01158664148528259,-94.40967136156185
AGO,Angola,-1.204,-1.3503651136889105,-0.1463651136889106,-0.0133059194262646,-12.156570904394567
BFA,Burkina Faso,-0.884,-1.0359542295685567,-0.15195422956855664,-0.013814020869868786,-17.189392485130842
COG,"Congo, Rep.",-1.084,-1.2777317691707477,-0.19373176917074764,-0.017611979015522514,-17.871934425345724
IRN,"Iran, Islamic Rep.",0.0039999999999999,-0.23601345491229792,-0.2400134549122978,-0.021819404992027072,-2400.134549122978
TTO,Trinidad and Tobago,0.055,-0.2231577162844758,-0.27815771628447583,-0.02528706511677053,-505.7413023354106
GIN,Guinea,-1.386,-1.679775135016838,-0.29377513501683805,-0.026706830456076188,-21.195897187362053
KAZ,Kazakhstan,-0.23,-0.6592757544422141,-0.4292757544422141,-0.039025068585655825,-186.64163236618003
ZMB,Zambia,-0.49,-0.9454784713207496,-0.4554784713207496,-0.041407133756431784,-92.95479006545911
NER,Niger,-0.62,-1.1351258353951803,-0.5151258353951803,-0.046829621399561844,-83.08481216051295
EGY,"Egypt, Arab Rep.",-0.144,-0.663272018987527,-0.519272018987527,-0.04720654718068427,-360.6055687413382
BHR,Bahrain,0.492,-0.0699336475490109,-0.5619336475490109,-0.05108487704991008,-114.21415600589653
MLI,Mali,-0.351,-0.9203456389626778,-0.5693456389626779,-0.05175869445115253,-162.2067347472017
KWT,Kuwait,0.419,-0.150775525989974,-0.5697755259899739,-0.05179777508999763,-135.98461240810835
MYS,Malaysia,1.209,0.5513235730251627,-0.6576764269748374,-0.05978876608862158,-54.398381056644936
SAU,Saudi Arabia,0.7,-0.03510857081511351,-0.7351085708151135,-0.06682805189228304,-105.01551011644479
ZWE,Zimbabwe,-0.921,-1.67997142038102,-0.7589714203810201,-0.06899740185282001,-82.40732034538763
LBY,Libya,-1.425,-2.3731752802446966,-0.9481752802446966,-0.08619775274951787,-66.53861615752257
