Country Code,Country,ECI_2019,ECI_2030_Ensemble,Total_Change,Annualised_Change,Pct_Change
GNQ,Equatorial Guinea,-1.901,-0.9990906940363511,0.9019093059636489,0.08199175508760445,47.44394034527348
MNG,Mongolia,-1.332,-0.5668936414589874,0.7651063585410127,0.06955512350372843,57.44041730788384
CHL,Chile,-0.413,0.31181461674865063,0.7248146167486507,0.06589223788624098,175.49990720306312
ECU,Ecuador,-1.184,-0.61183194431644,0.57216805568356,0.052015277789414546,48.32500470300338
MDG,Madagascar,-1.494,-1.0140087297768572,0.4799912702231428,0.04363557002028571,32.127929733811435
MMR,Myanmar,-1.344,-0.876739404713377,0.4672605952866231,0.04247823593514755,34.7664133397785
BOL,Bolivia,-0.964,-0.5908919475675953,0.37310805243240464,0.03391891385749133,38.70415481663949
VNM,Viet Nam,-0.057,0.29688050740601757,0.35388050740601756,0.03217095521872887,620.8429954491536
ETH,Ethiopia,-1.155,-0.8389784032374925,0.3160215967625075,0.028729236069318865,27.36117720887511
QAT,Qatar,0.003,0.31192255415955394,0.30892255415955394,0.02808386855995945,3089.225541595539
DZA,Algeria,-1.025,-0.7207036898492891,0.3042963101507108,0.02766330092279189,29.687444892752275
TCD,Chad,-1.845,-1.5680337556953639,0.2769662443046361,0.025178749482239648,15.011720558516863
CMR,Cameroon,-1.346,-1.1139974867582692,0.23200251324173093,0.021091137567430085,17.236442291361882
GAB,Gabon,-1.243,-1.018966329845084,0.22403367015491615,0.02036669728681056,18.023625917531465
YEM,"Yemen, Rep.",-1.518,-1.3015171922515947,0.21648280774840534,0.01968025524985503,14.261054528880457
CIV,Cote d'Ivoire,-1.1,-0.9182556584878124,0.18174434151218766,0.016522212864744333,16.522212864744333
IRQ,Iraq,-1.575,-1.4030657865674372,0.17193421343256277,0.01563038303932389,10.91645799571827
NGA,Nigeria,-1.529,-1.382052830793087,0.14694716920691286,0.013358833564264806,9.610671628967486
UZB,Uzbekistan,-0.69,-0.551179860596206,0.1388201394037939,0.012620012673072173,20.11886078315854
PNG,Papua New Guinea,-1.409,-1.2959930194786848,0.11300698052131519,0.010273361865574109,8.020367673620667
MOZ,Mozambique,-1.334,-1.2457595214087416,0.0882404785912585,0.008021861690114408,6.614728530079347
GHA,Ghana,-0.994,-0.9784276972989175,0.015572302701082452,0.0014156638819165866,1.5666300504107094
TGO,Togo,-0.893,-0.9214880848979201,-0.028488084897920096,-0.0025898258998109176,-3.19015508375365
RWA,Rwanda,-0.746,-0.798048875705635,-0.05204887570563499,-0.0047317159732395446,-6.977061086546245
TZA,Tanzania,-0.924,-0.9857160759848874,-0.061716075984887375,-0.005610552362262489,-6.679229002693439
MWI,Malawi,-1.2,-1.2746423761604022,-0.07464237616040226,-0.006785670560036569,-6.220198013366855
BFA,Burkina Faso,-0.884,-0.9597724057296798,-0.0757724057296798,-0.006888400520879982,-8.571539109692287
LBR,Liberia,-0.849,-0.9288526004088711,-0.0798526004088711,-0.007259327309897373,-9.405488858524276
UGA,Uganda,-0.754,-0.8339158421666903,-0.07991584216669034,-0.007265076560608213,-10.59891805924275
OMN,Oman,-0.179,-0.2885486798756907,-0.10954867987569072,-0.009958970897790066,-61.20037981882164
ARE,United Arab Emirates,0.333,0.2148302169828217,-0.11816978301717831,-0.01074270754701621,-35.48642132647997
IDN,Indonesia,-0.135,-0.2637439660785703,-0.1287439660785703,-0.011703996916233665,-95.36590079894096
LAO,Lao PDR,-0.805,-0.9531682759324406,-0.14816827593244053,-0.013469843266585502,-18.40599701024106
GIN,Guinea,-1.386,-1.5359141448000038,-0.14991414480000387,-0.01362855861818217,-10.816316363636643
