Country Code,Country Name
AGO,Angola
ALB,Albania
ARG,Argentina
AZE,Azerbaijan
BHR,Bahrain
BIH,Bosnia and Herzegovina
BOL,Bolivia
BWA,Botswana
CHL,Chile
CMR,Cameroon
COD,"Congo, Dem. Rep."
COG,"Congo, Rep."
COL,Colombia
DOM,Dominican Republic
DZA,Algeria
ECU,Ecuador
EGY,"Egypt, Arab Rep."
EST,Estonia
GAB,Gabon
GHA,Ghana
GIN,Guinea
IDN,Indonesia
IRN,"Iran, Islamic Rep."
IRQ,Iraq
JAM,Jamaica
KAZ,Kazakhstan
KWT,Kuwait
MEX,Mexico
MMR,Myanmar
MNG,Mongolia
MRT,Mauritania
MYS,Malaysia
NGA,Nigeria
OMN,Oman
PAK,Pakistan
PER,Peru
QAT,Qatar
ROU,Romania
RUS,Russian Federation
SAU,Saudi Arabia
TUN,Tunisia
UKR,Ukraine
VEN,"Venezuela, RB"
VNM,Viet Nam
YEM,"Yemen, Rep."
ZAF,South Africa
ZWE,Zimbabwe
