Country Code,Country,ECI_2019,ECI_2030_Ensemble,Total_Change,Annualised_Change,Pct_Change
GNQ,Equatorial Guinea,-1.901,-0.7284710167297339,1.1725289832702661,0.10659354393366055,61.679588809587905
CHL,Chile,-0.413,0.597103459283976,1.010103459283976,0.09182758720763418,244.57710878546632
MNG,Mongolia,-1.332,-0.4903169320609372,0.8416830679390629,0.0765166425399148,63.18941951494465
ECU,Ecuador,-1.184,-0.5036596288554072,0.6803403711445928,0.06184912464950843,57.46117999532034
VNM,Viet Nam,-0.057,0.47271835939643203,0.5297183593964321,0.048156214490584735,929.3304550814598
MDG,Madagascar,-1.494,-0.9672840418964183,0.5267159581035817,0.04788326891850743,35.255418882435194
QAT,Qatar,0.003,0.4850596331554863,0.4820596331554863,0.04382360301413512,4820.596331554863
MMR,Myanmar,-1.344,-0.8653028420387108,0.4786971579612893,0.0435179234510263,35.61734806259593
BOL,Bolivia,-0.964,-0.5008649723291034,0.46313502767089654,0.04210318433371787,48.04305266295608
ETH,Ethiopia,-1.155,-0.7359102672623061,0.4190897327376939,0.03809906661251763,36.28482534525489
DZA,Algeria,-1.025,-0.6693933497365943,0.35560665026340565,0.03232787729667324,34.693331733015185
YEM,"Yemen, Rep.",-1.518,-1.1702579659092587,0.34774203409074134,0.03161291219006739,22.907907384106807
NGA,Nigeria,-1.529,-1.2012431168637216,0.32775688313627827,0.029796080285116208,21.43602898209799
GAB,Gabon,-1.243,-0.9405765818316736,0.3024234181683265,0.02749303801530241,24.330122137435758
IRQ,Iraq,-1.575,-1.2857727920288313,0.28922720797116863,0.02629338254283351,18.36363225213769
PNG,Papua New Guinea,-1.409,-1.1296535141577493,0.27934648584225075,0.02539513507656825,19.825868406121415
CIV,Cote d'Ivoire,-1.1,-0.856424039732392,0.24357596026760808,0.022143269115237098,22.143269115237096
TCD,Chad,-1.845,-1.6059076463000932,0.23909235369990678,0.021735668518173344,12.958935159886547
CMR,Cameroon,-1.346,-1.1268054922868749,0.2191945077131252,0.019926773428465928,16.284881702312422
MOZ,Mozambique,-1.334,-1.181853045712233,0.15214695428776714,0.013831541298887922,11.405318912126472
UZB,Uzbekistan,-0.69,-0.5452607046364357,0.14473929536356422,0.013158117760324021,20.976709472980325
GHA,Ghana,-0.994,-0.8857944357625136,0.1082055642374864,0.009836869476135128,10.885871653670662
VEN,"Venezuela, RB",-1.277,-1.1883367327740277,0.08866326722597218,0.008060297020542924,6.943090620671274
TGO,Togo,-0.893,-0.8327488597938183,0.06025114020618172,0.005477376382380156,6.747048175384291
TZA,Tanzania,-0.924,-0.9376782804673514,-0.013678280467351311,-0.0012434800424864828,-1.4803333839124795
MWI,Malawi,-1.2,-1.2210547892818677,-0.02105478928186777,-0.00191407175289707,-1.7545657734889808
UGA,Uganda,-0.754,-0.7899555688223404,-0.03595556882234041,-0.003268688074758219,-4.768643079885996
LAO,Lao PDR,-0.805,-0.8420554609926654,-0.03705546099266532,-0.003368678272060484,-4.603162856231717
RWA,Rwanda,-0.746,-0.7850326098724516,-0.03903260987245161,-0.0035484190793137822,-5.232253334108795
LBR,Liberia,-0.849,-0.9022498087101891,-0.05324980871018914,-0.004840891700926286,-6.272062274462796
