Country Code,Country,ECI_2019,ECI_2030_Ensemble,Total_Change,Annualised_Change,Pct_Change
GNQ,Equatorial Guinea,-1.901,-0.8628870679353347,1.0381129320646654,0.09437390291496958,54.608781276415854
CHL,Chile,-0.413,0.5721140090135398,0.9851140090135397,0.08955581900123089,238.52639443427114
MNG,Mongolia,-1.332,-0.5086834863355905,0.8233165136644096,0.0748469557876736,61.81054907390462
ECU,Ecuador,-1.184,-0.4799974387824032,0.7040025612175967,0.06400023283796334,59.459675778513244
QAT,Qatar,0.003,0.5428489224651053,0.5398489224651053,0.049077174769555025,5398.489224651053
ETH,Ethiopia,-1.155,-0.623537780529389,0.531462219470611,0.048314747224601,46.01404497581048
YEM,"Yemen, Rep.",-1.518,-0.9931153497935374,0.5248846502064626,0.04771678638240569,34.57738143652586
MMR,Myanmar,-1.344,-0.8301214818154877,0.5138785181845124,0.04671622892586476,38.2350087934905
VNM,Viet Nam,-0.057,0.45202159595385155,0.5090215959538515,0.04627469054125923,893.0203437786869
BOL,Bolivia,-0.964,-0.4608833195001504,0.5031166804998496,0.045737880045440875,52.19052702280598
NGA,Nigeria,-1.529,-1.1405190329170256,0.3884809670829743,0.03531645155299767,25.40751910287602
MDG,Madagascar,-1.494,-1.1216360009273283,0.3723639990726717,0.03385127264297016,24.923962454663435
GAB,Gabon,-1.243,-0.8727850411254325,0.37021495887456757,0.033655905352233416,29.783987037374704
IRQ,Iraq,-1.575,-1.2450752201609947,0.32992477983900526,0.029993161803545932,20.94760506914319
DZA,Algeria,-1.025,-0.695983137354122,0.3290168626458779,0.029910623876897992,32.099206111792974
TCD,Chad,-1.845,-1.5285342461025828,0.31646575389741716,0.02876961399067429,17.152615387393887
VEN,"Venezuela, RB",-1.277,-0.9965450020644966,0.2804549979355033,0.025495908903227574,21.962020198551553
CMR,Cameroon,-1.346,-1.1181311343113338,0.22786886568866627,0.02071535142624239,16.92933623244177
PNG,Papua New Guinea,-1.409,-1.20683358966238,0.20216641033761995,0.018378764576147268,14.348219328432926
CIV,Cote d'Ivoire,-1.1,-0.958879205278837,0.14112079472116312,0.012829163156469375,12.829163156469372
UZB,Uzbekistan,-0.69,-0.556316105003283,0.13368389499671696,0.012153081363337905,19.374477535756082
TGO,Togo,-0.893,-0.7702757078231707,0.12272429217682934,0.011156753834257212,13.742921856307877
LAO,Lao PDR,-0.805,-0.7001334201270706,0.10486657987292947,0.009533325442993588,13.026904332040926
MOZ,Mozambique,-1.334,-1.2536401034781726,0.08035989652182751,0.007305445138347955,6.023980249012557
